,sentence #,rule #,text,corrected,ranking
89235,16324,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually convey a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89236,16325,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually reveal a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89237,16326,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually suggest a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89238,16327,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually specify a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89239,16328,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually say a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89240,16329,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually show a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89241,16330,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually reflect a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89242,16331,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually point to a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89243,16332,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually confirm a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89244,16333,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually signify a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89245,16334,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually flag a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89246,16335,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually prove a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89247,16336,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually share a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89248,16337,6101.8,But only two of those citations actually indicate a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,But only two of those citations actually clarify a counter- party's belief in the misstatement regarding Jefferies' acquisition cost.,3
89249,16468,6101.8,"The broken lines indicate features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.","The broken lines state features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.",3
89250,16469,6101.8,"The broken lines indicate features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.","The broken lines convey features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.",3
89251,16470,6101.8,"The broken lines indicate features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.","The broken lines reveal features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.",3
89252,16471,6101.8,"The broken lines indicate features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.","The broken lines suggest features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.",3
89253,16472,6101.8,"The broken lines indicate features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.","The broken lines specify features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.",3
89254,16473,6101.8,"The broken lines indicate features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.","The broken lines say features that Apple specifically disclaims-or in other words, that Apple concedes are outside the patents' protected scope.",2
